Date,Year,Month,WaterYear,TWtrPruth_bay02_Q_level,TWtrPruth_bay02_Q_flags,TWtrPruth_bay02_UNESCO_Q_level,TWtrPruth_bay02,TWtrPruth_bay02_Med,TWtrPruth_bay02_Avg,TWtrPruth_bay02_Min,TWtrPruth_bay02_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02,NS_Pruth_bay02
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-16,2016,Oct,2016-2017,1,"MV:22 of 24 missing:1 of 24 flagged",3,10.455,10.455,10.4468333333333,10.357,10.455
2016-10-17,2016,Oct,2016-2017,1,,2,10.455,10.455,10.4420694444444,10.259,10.553
2016-10-18,2016,Oct,2016-2017,1,,2,10.259,10.357,10.3729930555556,10.259,10.455
2016-10-19,2016,Oct,2016-2017,1,,2,10.357,10.357,10.3384548611111,10.259,10.357
2016-10-20,2016,Oct,2016-2017,1,,2,10.357,10.259,10.2855416666667,10.259,10.357
2016-10-21,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2993229166667,10.161,10.357
2016-10-22,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2671666666667,10.259,10.357
2016-10-23,2016,Oct,2016-2017,1,,2,10.357,10.27125,10.2921770833333,10.259,10.357
2016-10-24,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2897951388889,10.161,10.357
2016-10-25,2016,Oct,2016-2017,1,,2,10.161,10.21,10.2067673611111,10.161,10.259
2016-10-26,2016,Oct,2016-2017,1,,2,10.161,10.161,10.1889027777778,10.161,10.357
2016-10-27,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2663159722222,10.161,10.357
2016-10-28,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2807777777778,10.259,10.357
2016-10-29,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2719305555556,10.161,10.357
2016-10-30,2016,Oct,2016-2017,1,,2,10.259,10.259,10.2351805555556,10.063,10.357
2016-10-31,2016,Oct,2016-2017,1,,2,10.161,10.259,10.2244618055556,10.161,10.357
2016-11-01,2016,Nov,2016-2017,1,,2,10.161,10.161,10.154875,9.965,10.259
2016-11-02,2016,Nov,2016-2017,1,,2,10.063,10.161,10.1618506944444,10.063,10.259
2016-11-03,2016,Nov,2016-2017,1,,2,10.063,10.063,10.1079166666667,9.965,10.259
2016-11-04,2016,Nov,2016-2017,1,,2,10.161,10.161,10.1526631944444,10.063,10.259
2016-11-05,2016,Nov,2016-2017,1,,2,10.259,10.259,10.2751631944444,10.21,10.357
2016-11-06,2016,Nov,2016-2017,1,,2,10.357,10.357,10.33096875,10.259,10.455
