Date,Year,Month,WaterYear,TWtrTriquet_bay01_Q_level,TWtrTriquet_bay01_Q_flags,TWtrTriquet_bay01_UNESCO_Q_level,TWtrTriquet_bay01,TWtrTriquet_bay01_Med,TWtrTriquet_bay01_Avg,TWtrTriquet_bay01_Min,TWtrTriquet_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-12-08,2016,Dec,2016-2017,1,,2,6.077,6.445875,6.4458125,6.077,6.813
2016-12-09,2016,Dec,2016-2017,1,,2,6.763,6.395,6.40526041666666,5.77,7.343
2016-12-10,2016,Dec,2016-2017,1,,2,7.293,6.655,6.74773263888889,6.077,7.494
2016-12-11,2016,Dec,2016-2017,1,,2,7.217,6.588375,6.57410416666667,5.642,7.393
2016-12-12,2016,Dec,2016-2017,1,,2,7.041,6.233125,6.23191666666667,5.437,7.368
2016-12-13,2016,Dec,2016-2017,1,,2,7.066,6.064125,6.226859375,5.411,7.116
2016-12-14,2016,Dec,2016-2017,1,,2,6.788,6.188375,6.23789930555556,5.154,7.268
2016-12-15,2016,Dec,2016-2017,1,,2,6.077,6.24875,6.18587326388889,4.584,7.167
2016-12-16,2016,Dec,2016-2017,1,,2,5.719,5.987375,6.01703819444444,5.102,7.066
2016-12-17,2016,Dec,2016-2017,1,,2,7.293,6.613875,6.68431597222222,5.719,7.293
2016-12-18,2016,Dec,2016-2017,1,,2,7.945,7.7075,7.66352777777778,7.293,7.945
2016-12-19,2016,Dec,2016-2017,1,,2,8.095,8.15125,8.15790625,7.945,8.319
2016-12-20,2016,Dec,2016-2017,1,,2,8.369,8.278875,8.32296180555556,7.82,8.767
2016-12-21,2016,Dec,2016-2017,1,,2,8.618,8.668,8.62526909722222,8.344,8.767
2016-12-22,2016,Dec,2016-2017,1,,2,8.444,8.699,8.66139236111111,8.419,8.767
2016-12-23,2016,Dec,2016-2017,1,,2,7.945,8.21375,8.13131770833333,7.318,8.444
2016-12-24,2016,Dec,2016-2017,1,,2,7.619,7.609625,7.33805208333333,6.255,8.22
2016-12-25,2016,Dec,2016-2017,1,,2,7.343,6.46775,6.58576388888889,5.642,7.645
2016-12-26,2016,Dec,2016-2017,1,,2,8.494,7.8075,7.77497395833333,6.661,8.543
2016-12-27,2016,Dec,2016-2017,1,,2,8.543,8.419,8.46162326388889,8.145,8.717
2016-12-28,2016,Dec,2016-2017,1,,2,8.145,8.054375,8.08444097222222,7.67,8.543
2016-12-29,2016,Dec,2016-2017,1,,2,8.02,8.079375,8.08361284722222,7.72,8.319
2016-12-30,2016,Dec,2016-2017,1,,2,8.02,7.663375,7.73520138888889,7.242,8.145
2016-12-31,2016,Dec,2016-2017,1,,2,7.494,7.82,7.61867013888889,6.458,8.02
2017-01-01,2017,Jan,2016-2017,1,,2,6.636,6.29625,6.23019097222222,3.932,7.619
2017-01-02,2017,Jan,2016-2017,1,,2,5.796,6.06375,6.01008333333333,4.037,7.569
2017-01-03,2017,Jan,2016-2017,1,,2,5.539,6.070375,6.05408506944444,5.205,7.066
2017-01-04,2017,Jan,2016-2017,1,,2,5.565,5.997,6.07215625,5.565,6.788
2017-01-05,2017,Jan,2016-2017,1,,2,6.484,6.102375,6.170515625,5.462,6.864
2017-01-06,2017,Jan,2016-2017,1,,2,7.217,7.142,7.07805381944444,6.484,7.368
2017-01-07,2017,Jan,2016-2017,1,,2,6.965,7.274125,7.26115277777778,6.965,7.469
2017-01-08,2017,Jan,2016-2017,1,,2,6.965,6.9935,6.97541666666667,6.382,7.419
2017-01-09,2017,Jan,2016-2017,1,,2,6.509,6.60775,6.49036111111111,5.334,6.965
2017-01-10,2017,Jan,2016-2017,1,,2,6.661,5.48825,5.54915277777778,4.766,6.687
2017-01-11,2017,Jan,2016-2017,1,,2,6.636,5.5585,5.64438368055556,4.947,6.712
2017-01-12,2017,Jan,2016-2017,1,,2,6.737,6.1785,6.19501909722222,5.591,6.788
2017-01-13,2017,Jan,2016-2017,1,,2,6.864,6.503,6.51775868055556,6.026,6.864
2017-01-14,2017,Jan,2016-2017,1,,2,7.091,6.813,6.77798784722222,6.357,7.091
2017-01-15,2017,Jan,2016-2017,1,,2,7.091,7.0535,7.02835416666667,6.712,7.192
2017-01-16,2017,Jan,2016-2017,1,,2,7.519,7.1795,7.20136805555556,6.965,7.519
