Date,Year,Month,WaterYear,TWtrTriquet_bay02_Q_level,TWtrTriquet_bay02_Q_flags,TWtrTriquet_bay02_UNESCO_Q_level,TWtrTriquet_bay02,TWtrTriquet_bay02_Med,TWtrTriquet_bay02_Avg,TWtrTriquet_bay02_Min,TWtrTriquet_bay02_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02,NS_Triquet_bay02
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-13,2016,Oct,2016-2017,1,"MV:22 of 24 missing:1 of 24 flagged",3,10.748,10.748,10.748,10.748,10.748
2016-10-14,2016,Oct,2016-2017,1,,2,10.748,10.748,10.7271180555556,10.651,10.748
2016-10-15,2016,Oct,2016-2017,1,,2,10.846,10.80925,10.8002326388889,10.748,10.944
2016-10-16,2016,Oct,2016-2017,1,,2,10.846,10.9195,10.8977152777778,10.846,11.041
2016-10-17,2016,Oct,2016-2017,1,,2,10.944,10.944,10.9519131944444,10.895,11.041
2016-10-18,2016,Oct,2016-2017,1,,2,10.944,10.944,10.9844097222222,10.846,11.041
2016-10-19,2016,Oct,2016-2017,1,,2,10.651,10.748,10.7800017361111,10.651,10.944
2016-10-20,2016,Oct,2016-2017,1,,2,10.651,10.6995,10.7076597222222,10.651,10.846
2016-10-21,2016,Oct,2016-2017,1,,2,10.651,10.651,10.6176527777778,10.553,10.651
2016-10-22,2016,Oct,2016-2017,1,,2,10.553,10.553,10.5647395833333,10.455,10.651
2016-10-23,2016,Oct,2016-2017,1,,2,10.748,10.6995,10.6685295138889,10.455,10.846
2016-10-24,2016,Oct,2016-2017,1,,2,10.455,10.651,10.6457309027778,10.455,10.748
2016-10-25,2016,Oct,2016-2017,1,,2,10.455,10.553,10.5087638888889,10.357,10.651
2016-10-26,2016,Oct,2016-2017,1,,2,10.553,10.455,10.4732048611111,10.357,10.651
2016-10-27,2016,Oct,2016-2017,1,,2,10.455,10.553,10.5157395833333,10.455,10.553
2016-10-28,2016,Oct,2016-2017,1,,2,10.553,10.455,10.4527881944444,10.357,10.553
2016-10-29,2016,Oct,2016-2017,1,,2,10.455,10.455,10.4456423611111,10.259,10.553
2016-10-30,2016,Oct,2016-2017,1,,2,10.357,10.4305,10.40753125,10.357,10.455
2016-10-31,2016,Oct,2016-2017,1,,2,10.357,10.357,10.399875,10.357,10.455
2016-11-01,2016,Nov,2016-2017,1,,2,9.965,10.161,10.2127222222222,9.965,10.455
2016-11-02,2016,Nov,2016-2017,1,,2,10.063,10.063,9.98221875,9.571,10.161
2016-11-03,2016,Nov,2016-2017,1,,2,10.455,10.406,10.3270555555556,10.063,10.553
2016-11-04,2016,Nov,2016-2017,1,,2,10.455,10.357,10.3917083333333,10.259,10.455
2016-11-05,2016,Nov,2016-2017,1,,2,10.455,10.455,10.4536388888889,10.357,10.455
2016-11-06,2016,Nov,2016-2017,1,,2,10.357,10.455,10.4463229166667,10.357,10.455
2016-11-07,2016,Nov,2016-2017,1,,2,10.748,10.553,10.5262725694444,10.259,10.748
2016-11-08,2016,Nov,2016-2017,1,,2,10.748,10.748,10.7684166666667,10.748,10.846
2016-11-09,2016,Nov,2016-2017,1,,2,10.455,10.553,10.5949184027778,10.455,10.748
2016-11-10,2016,Nov,2016-2017,1,,2,10.259,10.259,10.3117430555556,10.161,10.455
2016-11-11,2016,Nov,2016-2017,1,,2,10.357,10.357,10.36159375,10.259,10.455
2016-11-12,2016,Nov,2016-2017,1,,2,10.357,10.357,10.3855833333333,10.357,10.455
2016-11-13,2016,Nov,2016-2017,1,,2,10.944,10.846,10.6480850694444,10.259,10.944
2016-11-14,2016,Nov,2016-2017,1,,2,10.455,10.651,10.654953125,10.357,10.944
2016-11-15,2016,Nov,2016-2017,1,,2,10.259,10.455,10.4240347222222,10.063,10.553
2016-11-16,2016,Nov,2016-2017,1,,2,10.161,10.24675,10.1747743055556,9.866,10.357
2016-11-17,2016,Nov,2016-2017,1,,2,10.161,10.161,10.1861805555556,9.965,10.357
2016-11-18,2016,Nov,2016-2017,1,,2,9.472,9.965,9.86719618055555,9.472,10.161
2016-11-19,2016,Nov,2016-2017,1,,2,9.866,9.97725,9.93728819444444,9.472,10.063
2016-11-20,2016,Nov,2016-2017,1,,2,9.571,9.82925,9.81271354166667,9.571,9.965
2016-11-21,2016,Nov,2016-2017,1,,2,9.077,9.669,9.57623263888889,9.077,9.669
2016-11-22,2016,Nov,2016-2017,1,,2,9.669,9.768,9.61525,9.077,9.965
2016-11-23,2016,Nov,2016-2017,1,,2,9.472,9.373,9.39477256944445,9.077,9.669
2016-11-24,2016,Nov,2016-2017,1,,2,9.373,9.768,9.78428993055555,9.373,10.063
2016-11-25,2016,Nov,2016-2017,1,,2,9.571,9.4225,9.36909375,8.68,9.768
2016-11-26,2016,Nov,2016-2017,1,,2,9.571,9.472,9.39940277777778,8.978,9.669
2016-11-27,2016,Nov,2016-2017,1,,2,9.571,9.1265,9.03974305555556,8.382,9.669
2016-11-28,2016,Nov,2016-2017,1,,2,9.768,9.571,9.59919965277778,9.472,9.768
2016-11-29,2016,Nov,2016-2017,1,,2,9.669,9.484375,9.55978298611111,9.275,9.768
