"region","year","Temp"
"choked","2014",12.0687084235723
"pruth","2014",12.0687084235723
"triquet","2014",12.6662453452781
"choked","2015",12.8076493071418
"goose","2015",13.2592324970829
"mcmullins","2015",13.0765004315305
"pruth","2015",12.8076493071418
"triquet","2015",13.0232015989967
